
MP7: 
| ImageID | Keypoints | Detector |
|1 | 59 | SIFT |
|2 | 63 | SIFT |
|3 | 54 | SIFT |
|4 | 64 | SIFT |
|5 | 51 | SIFT |
|6 | 50 | SIFT |
|7 | 47 | SIFT |
|8 | 53 | SIFT |
|9 | 65 | SIFT |

MP8, Descriptor: AKAZE
| ImageID | Matched Points | Keypoint Detector |
|1 | 128 | AKAZE |
|2 | 128 | AKAZE |
|3 | 125 | AKAZE |
|4 | 117 | AKAZE |
|5 | 121 | AKAZE |
|6 | 132 | AKAZE |
|7 | 137 | AKAZE |
|8 | 140 | AKAZE |
|9 | 144 | AKAZE |
|1 | Uncomp. | BRISK
|2 | Uncomp. | BRISK
|3 | Uncomp. | BRISK
|4 | Uncomp. | BRISK
|5 | Uncomp. | BRISK
|6 | Uncomp. | BRISK
|7 | Uncomp. | BRISK
|8 | Uncomp. | BRISK
|9 | Uncomp. | BRISK
|1 | Uncomp. | FAST
|2 | Uncomp. | FAST
|3 | Uncomp. | FAST
|4 | Uncomp. | FAST
|5 | Uncomp. | FAST
|6 | Uncomp. | FAST
|7 | Uncomp. | FAST
|8 | Uncomp. | FAST
|9 | Uncomp. | FAST
|1 | Uncomp. | HARRIS
|2 | Uncomp. | HARRIS
|3 | Uncomp. | HARRIS
|4 | Uncomp. | HARRIS
|5 | Uncomp. | HARRIS
|6 | Uncomp. | HARRIS
|7 | Uncomp. | HARRIS
|8 | Uncomp. | HARRIS
|9 | Uncomp. | HARRIS
|1 | Uncomp. | ORB
|2 | Uncomp. | ORB
|3 | Uncomp. | ORB
|4 | Uncomp. | ORB
|5 | Uncomp. | ORB
|6 | Uncomp. | ORB
|7 | Uncomp. | ORB
|8 | Uncomp. | ORB
|9 | Uncomp. | ORB
|1 | Uncomp. | SHITOMASI
|2 | Uncomp. | SHITOMASI
|3 | Uncomp. | SHITOMASI
|4 | Uncomp. | SHITOMASI
|5 | Uncomp. | SHITOMASI
|6 | Uncomp. | SHITOMASI
|7 | Uncomp. | SHITOMASI
|8 | Uncomp. | SHITOMASI
|9 | Uncomp. | SHITOMASI
|1 | Uncomp. | SIFT
|2 | Uncomp. | SIFT
|3 | Uncomp. | SIFT
|4 | Uncomp. | SIFT
|5 | Uncomp. | SIFT
|6 | Uncomp. | SIFT
|7 | Uncomp. | SIFT
|8 | Uncomp. | SIFT
|9 | Uncomp. | SIFT

MP8, Descriptor: SIFT
| ImageID | Matched Points | Keypoint Detector |
|1 | 134 | AKAZE |
|2 | 134 | AKAZE |
|3 | 130 | AKAZE |
|4 | 136 | AKAZE |
|5 | 137 | AKAZE |
|6 | 147 | AKAZE |
|7 | 147 | AKAZE |
|8 | 154 | AKAZE |
|9 | 151 | AKAZE |
|1 | 182 | BRISK |
|2 | 193 | BRISK |
|3 | 169 | BRISK |
|4 | 183 | BRISK |
|5 | 171 | BRISK |
|6 | 195 | BRISK |
|7 | 194 | BRISK |
|8 | 176 | BRISK |
|9 | 183 | BRISK |
|1 | 65 | FAST |
|2 | 59 | FAST |
|3 | 54 | FAST |
|4 | 74 | FAST |
|5 | 68 | FAST |
|6 | 74 | FAST |
|7 | 97 | FAST |
|8 | 83 | FAST |
|9 | 76 | FAST |
|1 | 20 | HARRIS |
|2 | 34 | HARRIS |
|3 | 47 | HARRIS |
|4 | 49 | HARRIS |
|5 | 49 | HARRIS |
|6 | 66 | HARRIS |
|7 | 43 | HARRIS |
|8 | 105 | HARRIS |
|9 | 78 | HARRIS |
|1 | 67 | ORB |
|2 | 79 | ORB |
|3 | 78 | ORB |
|4 | 79 | ORB |
|5 | 82 | ORB |
|6 | 95 | ORB |
|7 | 95 | ORB |
|8 | 94 | ORB |
|9 | 94 | ORB |
|1 | 112 | SHITOMASI |
|2 | 109 | SHITOMASI |
|3 | 104 | SHITOMASI |
|4 | 103 | SHITOMASI |
|5 | 99 | SHITOMASI |
|6 | 101 | SHITOMASI |
|7 | 96 | SHITOMASI |
|8 | 106 | SHITOMASI |
|9 | 97 | SHITOMASI |
|1 | 82 | SIFT |
|2 | 81 | SIFT |
|3 | 85 | SIFT |
|4 | 93 | SIFT |
|5 | 90 | SIFT |
|6 | 81 | SIFT |
|7 | 82 | SIFT |
|8 | 102 | SIFT |
|9 | 104 | SIFT |

MP9, Descriptor with timing:BRISK
| ImageID | Keypoint Detector | KeyPoints Time | Desription Time |
| 0 | AKAZE | 87.0636 | 2.0627 |
| 1 | AKAZE | 81.9677 | 2.08813 |
| 2 | AKAZE | 82.5383 | 2.54318 |
| 3 | AKAZE | 81.9465 | 2.44186 |
| 4 | AKAZE | 85.379 | 2.01164 |
| 5 | AKAZE | 83.9153 | 2.831 |
| 6 | AKAZE | 83.9124 | 2.07677 |
| 7 | AKAZE | 85.3295 | 2.09556 |
| 8 | AKAZE | 81.2241 | 2.15284 |
| 9 | AKAZE | 80.5249 | 2.15592 |
